,endTime,artistName,trackName,msPlayed
563,2023-09-11 04:29,Sanjay Leela Bhansali,Jab Saiyaan,247784
564,2023-09-11 04:34,Sanjay Leela Bhansali,Jab Saiyaan,30993
565,2023-09-11 04:34,Sanjay Leela Bhansali,Shikayat,19321
566,2023-09-11 04:38,Shreya Ghoshal,Jab Saiyaan,245209
567,2023-09-12 03:28,Shreya Ghoshal,Jab Saiyaan,247784
568,2023-09-12 03:34,Shreya Ghoshal,Jab Saiyaan,247784
569,2023-09-12 03:44,Shreya Ghoshal,Jab Saiyaan,1555
570,2023-09-14 09:55,Coolio,Gangsta's Paradise,240693
571,2023-09-18 09:10,Anirudh Ravichander,Jawan Title Track,185529
572,2023-09-18 09:12,Anirudh Ravichander,Jawan Prevue Theme,2453
573,2023-09-18 09:12,Anirudh Ravichander,Jawan Prevue Theme,127215
574,2023-09-18 09:15,Anirudh Ravichander,Jawan Title Track,185610
575,2023-09-18 09:20,Anirudh Ravichander,Jawan Title Track,2492
576,2023-09-18 09:23,Anirudh Ravichander,Jawan Title Track,188102
577,2023-09-18 09:27,Anirudh Ravichander,Jawan Title Track,188102
578,2023-09-18 09:33,Anirudh Ravichander,Jawan Title Track,188102
579,2023-09-18 09:34,Anirudh Ravichander,Jawan Title Track,90189
580,2023-09-18 09:51,Anirudh Ravichander,"Vandha Edam (From ""Jawan"")",252800
581,2023-09-18 09:54,Anirudh Ravichander,Jawan Prevue Theme,1001
582,2023-09-18 09:54,Anirudh Ravichander,Jawan Prevue Theme,4548
583,2023-09-18 10:02,Anirudh Ravichander,Hukum - Thalaivar Alappara,175238
584,2023-09-18 10:05,Anirudh Ravichander,Jujubee,160147
585,2023-09-18 12:27,Bharath Sankar,Maaveeran Theme,130363
586,2023-09-18 12:29,Bharath Sankar,Maaveeran Theme,130363
587,2023-09-18 12:46,Bharath Sankar,Maaveeran Theme,126458
588,2023-09-21 08:01,Anirudh Ravichander,Jawan Title Track,188102
589,2023-09-21 08:04,Anirudh Ravichander,Jawan Title Track,188102
590,2023-09-21 08:08,Anirudh Ravichander,Jawan Title Track,188102
591,2023-09-21 08:20,Anirudh Ravichander,Jawan Title Track,33111
592,2023-09-21 08:45,Anirudh Ravichander,Jawan Title Track,188102
593,2023-09-21 08:48,Anirudh Ravichander,Jawan Title Track,188102
594,2023-09-21 08:51,Anirudh Ravichander,Jawan Title Track,183775
595,2023-09-21 09:15,Anirudh Ravichander,Jawan Title Track,4328
596,2023-09-21 09:28,Anirudh Ravichander,Jawan Title Track,186724
597,2023-09-21 09:54,Anirudh Ravichander,Jawan Title Track,1428
598,2023-09-21 09:57,Anirudh Ravichander,Jawan Title Track,188102
599,2023-09-21 09:58,Anirudh Ravichander,Jawan Title Track,88032
600,2023-09-21 10:00,Anirudh Ravichander,Jawan Prevue Theme,127215
601,2023-09-21 10:14,Anirudh Ravichander,Jawan Prevue Theme,127215
602,2023-09-21 10:16,Anirudh Ravichander,Jawan Prevue Theme,127215
603,2023-09-21 10:18,Anirudh Ravichander,Jawan Prevue Theme,127215
604,2023-09-21 10:20,Anirudh Ravichander,Jawan Prevue Theme,127215
605,2023-09-21 10:23,Anirudh Ravichander,Jawan Prevue Theme,35781
606,2023-09-21 10:23,Anirudh Ravichander,Jawan Prevue Theme,127215
607,2023-09-21 12:50,Ram Sampath,"Bhaag D.K. Bose, Aandhi Aayi",241304
608,2023-09-21 12:54,Ram Sampath,"Bhaag D.K. Bose, Aandhi Aayi",239096
609,2023-09-22 03:58,Suresh Wadkar,Haathon Ki Chand Lakeeron Ka,159757
610,2023-09-22 03:59,Udit Narayan,Saat Samundar Paar - Male,72078
611,2023-09-22 04:00,Amit Kumar,Dil Le Gayi Teri Bindiya,45129
612,2023-09-22 04:06,Amit Kumar,Dil Le Gayi Teri Bindiya - 1991,181501
613,2023-09-22 04:13,Binni Krishnakumar,Raa Raa,326426
614,2023-09-22 04:18,Binni Krishnakumar,Raa Raa,300067
615,2023-09-22 05:13,Mohit Chauhan,Dooriyan,335049
616,2023-09-22 05:15,Rahat Fateh Ali Khan,Ajj Din Chadheya,102318
617,2023-09-22 05:19,Pritam,Yeh Dooriyan,219976
618,2023-09-22 05:24,Mohit Chauhan,Dooriyan,300001
619,2023-09-22 05:48,Karthik,Naa Pere Kanchanamaala,318846
620,2023-09-22 05:49,Chiranjeevi,Chaila Chaila,46577
621,2023-09-22 05:55,Kamal Haasan,Alwarpetyai Aaluda,321854
622,2023-09-22 06:10,Kamal Haasan,Alwarpetyai Aaluda,231156
623,2023-09-22 07:40,N.R. Raghunanthan,Edhukku Machan,47804
624,2023-09-22 09:54,Anirudh Ravichander,Chaleya,113927
625,2023-09-22 10:56,Prabh Singh,9:45,117606
626,2023-09-22 10:57,Prabh Singh,9:45,72974
627,2023-09-22 10:59,Riar Saab,Obsessed,76566
628,2023-09-22 11:01,Pradeep Kumar,Life Of Ram,120008
629,2023-09-22 13:07,Anirudh Ravichander,"Natpu (From ""RRR"")",278188
630,2023-09-22 13:11,Anirudh Ravichander,Jawan Title Track,188102
631,2023-09-22 13:13,Anirudh Ravichander,Jawan Title Track,125038
632,2023-09-22 13:21,Anirudh Ravichander,"Vandha Edam (From ""Jawan"")",247413
633,2023-09-22 13:24,Anirudh Ravichander,Jawan Prevue Theme,123336
634,2023-09-23 09:12,Malaysia Vasudevan,Panju Mittai..,134189
635,2023-09-23 09:17,Yuvan Shankar Raja,Panjaa,214741
636,2023-09-23 09:21,Yuvan Shankar Raja,Panjaa,214741
637,2023-09-23 09:25,Yuvan Shankar Raja,Panjaa,214741
638,2023-09-23 09:38,Yuvan Shankar Raja,Panjaa,189691
639,2023-09-24 01:24,Thaman S,"Hungry Cheetah (From ""They Call Him OG"")",119052
640,2023-09-24 01:26,Thaman S,"Hungry Cheetah (From ""They Call Him OG"")",119052
641,2023-09-24 01:28,Thaman S,"Hungry Cheetah (From ""They Call Him OG"")",116857
642,2023-09-24 01:32,Yuvan Shankar Raja,Panjaa,214741
643,2023-09-24 01:35,Yuvan Shankar Raja,Panjaa,102767
644,2023-09-24 01:38,Harris Jayaraj,Yennai Arindhaal,173569
645,2023-09-24 01:42,Harris Jayaraj,"His Name is John (From ""Dhruva Natchathiram"")",230741
646,2023-09-24 01:57,Harris Jayaraj,"His Name is John (From ""Dhruva Natchathiram"")",404487
647,2023-09-24 01:59,Harris Jayaraj,"His Name is John (From ""Dhruva Natchathiram"")",102099
648,2023-09-25 03:25,Hemachandra Vedala,"Bommali (From ""Billa"")",294493
649,2023-09-25 03:28,Mani Sharma,"Solluda Siva (From ""Bedurulanka 2012"")",200000
650,2023-09-25 03:28,Mani Sharma,"Solluda Siva (From ""Bedurulanka 2012"")",622
651,2023-09-25 04:24,Rajesh Murugesan,Pistah,146933
652,2023-09-25 05:02,Rajesh Murugesan,Pistah,13214
653,2023-09-25 05:02,Rajesh Murugesan,Pistah,146933
654,2023-09-25 05:11,Santhosh Narayanan,Aag Hun Main,185884
655,2023-09-25 05:12,Malaysia Vasudevan,Panju Mittai..,78362
656,2023-09-25 05:13,G. V. Prakash,World of Mark Antony,7004
657,2023-09-25 05:13,G. V. Prakash,Karuppana Saamy,53641
658,2023-09-25 05:19,Thaman S,"Hungry Cheetah (From ""They Call Him OG (Hindi)"")",99082
659,2023-09-25 05:24,Thaman S,"Hungry Cheetah (From ""They Call Him OG"")",72283
660,2023-09-25 05:28,Kapil Kapilan,Neela Nilave,253000
661,2023-09-25 05:44,Kapil Kapilan,Neela Nilave,301800
662,2023-09-25 06:15,Kapil Kapilan,Neela Nilave,337888
663,2023-09-25 06:18,Thaman S,God Father Title Song,163860
664,2023-09-25 06:20,Blaaze,Blast Baby,96324
665,2023-09-25 07:19,Hariharan,Kallaimattum Kandal,101076
666,2023-09-25 07:23,Himesh Reshammiya,Rayini Maatram,163793
667,2023-09-25 10:52,S. P. Balasubrahmanyam,Jabilli Kosam-Male,178651
668,2023-09-25 10:53,S. P. Balasubrahmanyam,Mate Rani,24090
